公司 company
学位 degree
职位 job
学校 school
/*
说明
每行为图中的一条边，格式如下
实体1||实体2||关系

实体中格式为
类型::值
*/

人::1||学位::北方工业大学||就读
人::1||学位::本科||拥有
人::2||公司::上海携宁计算机科技有限公司||任职
人::2||公司::北京中科启信软件技术有限公司||任职
人::2||学位::北京农学院||就读
人::2||学位::大专||拥有
人::2||职位::javaweb软件工程师 ; ||担任
人::2||职位::java软件工程师 ; ||担任
人::3||公司::北京奥迈思互动传媒咨询有限公司||任职
人::3||公司::上海雅高集团||任职
人::3||学位::江西农业大学||就读
人::3||学位::本科||拥有
人::3||职位::人事主管 ; ||担任
人::3||职位::其他 ; ||担任
人::4||公司::北京中国国际旅行社||任职
人::4||学位::北京昌平职业学校||就读
人::4||学位::中专||拥有
人::4||职位::网络在线销售 ; ||担任
人::5||公司::华为技术有限公司(10000人以上)||任职
人::5||学位::大连海事大学||就读
人::5||学位::硕士||拥有
人::5||职位::移动通信工程师 ; ||担任
人::6||公司::智云创享网络科技有限公司||任职
人::6||学位::现代管理大学||就读
人::6||学位::本科||拥有
人::6||职位::网编 ; ||担任
人::7||学位::北大方正软件技术学院||就读
人::7||学位::大专||拥有
人::8||公司::优力联旭有限公司||任职
人::8||公司::投资公司||任职
人::8||公司::鑫尊地产||任职
人::8||学位::信息管理学校||就读
人::8||学位::中专||拥有
人::8||职位::淘宝客服 ; ||担任
人::8||职位::网络工程师 ; ||担任
人::8||职位::房地产销售人员 ; ||担任
人::9||公司::北京极客易品科技有限公司||任职
人::9||公司::橡树缘酒店连锁||任职
人::9||公司::丽江云水遥客栈||任职
人::9||公司::阿拉丁户外俱乐部||任职
人::9||公司::北京互通天地信息技术有限公司||任职
人::9||公司::北京娱乐空间文化艺术有限公司||任职
人::9||学位::湖北经济学院||就读
人::9||学位::本科||拥有
人::9||职位:: ; ||担任
人::9||职位:: ; ||担任
人::9||职位:: ; ||担任
人::9||职位::销售经理 ; ||担任
人::9||职位::平面设计师 ; ||担任
人::9||职位::网页美工 ; ||担任
人::11||学位::中国人民大学||就读
人::11||学位::本科||拥有
人::12||公司::人人游戏公司||任职
人::12||学位::对外经贸大学||就读
人::12||学位::本科||拥有
人::12||职位::实习生 ; ||担任
人::13||公司::北京诺克斯达石油科技有限公司实习||任职
人::13||学位::中国石油大学(北京)||就读
人::13||学位::中国石油大学(北京)||就读
人::13||学位::硕士||拥有
人::13||学位::本科||拥有
人::13||职位::算法工程师 ; ||担任
人::14||公司::联合易网||任职
人::14||学位::北京广告学院||就读
人::14||学位::中专||拥有
人::14||职位::网页设计制作美工 ; ||担任
人::15||公司::京东方科技集团北京京东方茶谷电子有限公司||任职
人::15||公司::京东方科技集团电子材料事业部||任职
人::15||公司::学校||任职
人::15||公司::普瑞祥网吧||任职
人::15||学位::北京科技大学||就读
